echos-speak-bridge
date,stream,content
2026/09/09 14:19:12,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 14:19:10,stdout,Cookie successfully flushed to disk at: /app/data/.alexa-cookie.json

2026/09/09 14:19:10,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 14:16:56,stdout,================================================================

2026/09/09 14:16:56,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 14:16:56,stdout,REST API Listening on Port: 8093

2026/09/09 14:16:56,stdout,Echos Speak Advanced API Bridge (v1.1.3) Running

2026/09/09 14:16:56,stdout,================================================================

2026/09/09 14:16:56,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 14:16:56,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 14:16:56,stdout,Initializing Alexa Remote connection...

2026/09/09 14:16:56,stdout,Run `npm audit` for details.

2026/09/09 14:16:56,stdout,

2026/09/09 14:16:56,stdout,  npm audit fix --force

2026/09/09 14:16:56,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 14:16:56,stdout,

2026/09/09 14:16:56,stdout,  npm audit fix

2026/09/09 14:16:56,stdout,"To address issues that do not require attention, run:
"
2026/09/09 14:16:56,stdout,

2026/09/09 14:16:56,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 14:16:56,stdout,

2026/09/09 14:16:56,stdout,  run `npm fund` for details

2026/09/09 14:16:56,stdout,20 packages are looking for funding

2026/09/09 14:16:56,stdout,

2026/09/09 14:16:56,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 14:16:56,stdout,

2026/09/09 14:16:20,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 14:13:24,stdout,================================================================

2026/09/09 14:13:24,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 14:13:24,stdout,REST API Listening on Port: 8093

2026/09/09 14:13:24,stdout,Echos Speak Advanced API Bridge (v1.1.3) Running

2026/09/09 14:13:24,stdout,================================================================

2026/09/09 14:13:24,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 14:13:24,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 14:13:24,stdout,Initializing Alexa Remote connection...

2026/09/09 14:13:23,stdout,Run `npm audit` for details.

2026/09/09 14:13:23,stdout,

2026/09/09 14:13:23,stdout,  npm audit fix --force

2026/09/09 14:13:23,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 14:13:23,stdout,

2026/09/09 14:13:23,stdout,  npm audit fix

2026/09/09 14:13:23,stdout,"To address issues that do not require attention, run:
"
2026/09/09 14:13:23,stdout,

2026/09/09 14:13:23,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
