Device Name,Device Label,Device ID,deviceNetworkId,roomName,typeName,manufacturer,model,softwareBuild,Driver Author
Office Tuya Rotary Knob,Office Rotary Knob,521,9965,Office,Tuya Scene Switch TS004F,_TZ3000_abrsvsou,TS004F,122052017,kkossev
Guest Bedroom Tuya Motion/Lux Sensor,Guest Bedroom Motion/Lux,581,9984,Guest Bedroom,Tuya Multi Sensor 4 In 1,_TZE200_3towulqd,TS0601,,kkossev
Laundry Room Tuya Motion/Lux Sensor,Laundry Room Motion/Lux,579,2C3E,Laundry Room,Tuya Multi Sensor 4 In 1,_TZE200_3towulqd,TS0601,,kkossev
Stairwell Lower Tuya Motion/Lux Sensor,Stairwell Lower Motion/Lux,577,941E,Stairwell,Tuya Multi Sensor 4 In 1,_TZE200_3towulqd,TS0601,,kkossev
Stairwell Tuya Upper Motion/Lux Sensor,Stairwell Upper Motion/Lux,578,80F9,Stairwell,Tuya Multi Sensor 4 In 1,_TZE200_3towulqd,TS0601,,kkossev
Tuya ZG-204ZV 4-in-1 mmWave Presence Sensor,Kitchen Counter 4-in-1 Motion,469,C3D3,Kitchen,Tuya TS0601 TZE200_rrhgsbacq 4 in 1 Driver,_TZE200_rhgsbacq,TS0601,129122025,jshimota
Living Room Centralite Pearl Thermostat w/Temp,Living Room Thermostat w/Temp,510,CFA8,Living Room,CentraLite Pearl Thermostat (Custom),Centralite,3157100,4075010,jshimota
Garage Rolling Door eWeLink Open Contact Sensor,Garage Rolling Door Open Contact,665,9EE8,Garage,Tuya Zigbee Contact Sensor++ w/ healthStatus,eWeLink,CK-TLSR8656-SS5-01(7003),,kkossev
Bathroom eWeLink Shower Motion Sensor,Bathroom Shower Motion,622,8345,Bathroom,eWeLink MS01 Motion Sensor (Custom),eWeLink,MS01,2,jshimota
Bathroom eWeLink Sink Motion Sensor,Bathroom Sink Motion,106,BD5F,Bathroom,eWeLink MS01 Motion Sensor (Custom),eWeLink,MS01,2,jshimota
Guest Bathroom eWeLink Shower Motion Sensor,Guest Bathroom Shower Motion,472,C44A,Guest Bathroom,eWeLink MS01 Motion Sensor (Custom),eWeLink,MS01,5,jshimota
Kitchen Fridge eWeLink Motion Sensor,Kitchen Fridge Motion,459,82B6,Kitchen,eWeLink MS01 Motion Sensor (Custom),eWeLink,MS01,5,jshimota
Living Room eWeLink Motion Sensor,Living Room Motion,189,BCB5,Living Room,eWeLink MS01 Motion Sensor (Custom),eWeLink,MS01,5,jshimota
Bedroom Bed Gledepto Strip Light,Bedroom Bed Strip Light,194,1BD9,Bedroom,Advanced Zigbee RGBW Bulb,GLEDOPTO,GL-C-008P,20451203,hubitat
Kitchen GLEDOPTO Counter LED Striplight,Kitchen Counter Striplight,151,1.00E+12,Kitchen,Advanced Zigbee RGBW Bulb,GLEDOPTO,GL-C-008P,20451203,hubitat
Living Room INNR Reading Lamp Bulb,Living Room Reading Lamp,638,F88C,Living Room,Advanced Zigbee RGBW Bulb,innr,AE 287 C,1.9.33,hubitat
Living Room INNR Torche Light Bulb,Living Room Torche Light,639,09FF,Living Room,Advanced Zigbee RGBW Bulb,innr,AE 287 C,1.9.33,hubitat
Entryway Jasco Light Switch,Entryway Light,394,BB26,Entryway,Jasco/GE 43078 Switch w/Power Meter Driver (Custom),Jasco Products,43078,5,jshimota
Hallway Jasco 3-Way Light Switch,Hallway 3-Way Light,383,21CC,Hallway,Jasco/GE 43078 Switch w/Power Meter Driver (Custom),Jasco Products,43078,5,jshimota
Bathroom Jasco Vanity Light Dimming Switch,Bathroom Vanity Dimmer,111,681A,Bathroom,Jasco/GE 43080 Dimming Switch (Custom),Jasco Products,43080,4,jshimota
Bedroom Jasco Closet Light Dimming Switch,Bedroom Closet Dimmer,393,F09B,Bedroom,Jasco/GE 43080 Dimming Switch (Custom),Jasco Products,43080,4,jshimota
Guest Bedroom Jasco Light Dimming Switch,Guest Bedroom Dimmer,546,0C18,Guest Bedroom,Jasco/GE 43080 Dimming Switch (Custom),Jasco Products,43080,4,jshimota
Office Jasco Ceiling Light Dimming Switch,Office Ceiling Light Dimmer,39,5056,Office,Jasco/GE 43080 Dimming Switch (Custom),Jasco Products,43080,4,jshimota
Stairwell Jasco Light Dimming Switch,Stairwell Dimmer,584,4ABF,Stairwell,Jasco/GE 43080 Dimming Switch (Custom),Jasco Products,43080,4,jshimota
