ConditionCode,ConditionType,ConditionDescFull,OWNCond.pngitiond.pngayIcon,OWMConditionNightIcon,AltConditionDayIcon,AltConditionNightIcon
200,Thunderstorm,Thunderstorm with Light Rain,11d.png,11n.png,38.png,47.png
201,Thunderstorm,Thunderstorm with Rain,11d.png,11n.png,38.png,47.png
202,Thunderstorm,Thunderstorm with Heavy Rain,11d.png,11n.png,38.png,47.png
210,Thunderstorm,Light Thunderstorm,11d.png,11n.png,38.png,47.png
211,Thunderstorm,Thunderstorm,11d.png,11n.png,38.png,47.png
212,Thunderstorm,Heavy Thunderstorm,11d.png,11n.png,38.png,47.png
221,Thunderstorm,Ragged Thunderstorm,11d.png,11n.png,38.png,47.png
230,Thunderstorm,Thunderstorm with Light Drizzle,11d.png,11n.png,38.png,47.png
231,Thunderstorm,Thunderstorm with Drizzle,11d.png,11n.png,38.png,47.png
232,Thunderstorm,Thunderstorm with Heavy Drizzle,11d.png,11n.png,38.png,47.png
300,Drizzle,Light Intensity Drizzle,09d.png,09n.png,9.png,9.png
301,Drizzle,Drizzle,09d.png,09n.png,9.png,9.png
302,Drizzle,Heavy Intensity Drizzle,09d.png,09n.png,9.png,9.png
310,Drizzle,Light Intensity Drizzle Rain,09d.png,09n.png,9.png,9.png
311,Drizzle,Drizzle Rain,09d.png,09n.png,9.png,9.png
312,Drizzle,Heavy Intensity Drizzle Rain,09d.png,09n.png,9.png,9.png
313,Drizzle,Shower Rain and Drizzle,09d.png,09n.png,9.png,9.png
314,Drizzle,Heavy Shower Rain and Drizzle,09d.png,09n.png,9.png,9.png
321,Drizzle,Shower Drizzle,09d.png,09n.png,9.png,9.png
500,Rain,Light Rain,10d.png,10n.png,39.png,9.png
501,Rain,Moderate Rain,10d.png,10n.png,39.png,11.png
502,Rain,Heavy Intensity Rain,10d.png,10n.png,39.png,11.png
503,Rain,Very Heavy Rain,10d.png,10n.png,39.png,11.png
504,Rain,Extreme Rain,10d.png,10n.png,39.png,11.png
511,Rain,Freezing Rain,13d.png,13n.png,39.png,11.png
520,Rain,Light Intensity Shower Rain,09d.png,09n.png,39.png,9.png
521,Rain,Shower Rain,09d.png,09n.png,39.png,11.png
522,Rain,Heavy Intensity Shower Rain,09d.png,09n.png,39.png,11.png
531,Rain,Ragged Shower Rain,09d.png,09n.png,39.png,9.png
600,Snow,Light Snow,13d.png,13n.png,13.png,46.png
601,Snow,Snow,13d.png,13n.png,14.png,46.png
602,Snow,Heavy Snow,13d.png,13n.png,16.png,46.png
611,Snow,Sleet,13d.png,13n.png,9.png,46.png
612,Snow,Light Shower Sleet,13d.png,13n.png,8.png,46.png
613,Snow,Shower Sleet,13d.png,13n.png,9.png,45.png
615,Snow,Light Rain and Snow,13d.png,13n.png,39.png,45.png
