"Device Name","Device Label","Device ID","controllerType","deviceNetworkId","lastActivityAt","roomName","typeName","application","aqaraModel","baseUrl","deviceId","deviceIP","devicePort","devIp","driverVersion","feature","firmwareMT","gradOnOff","hasLed","inClusters","isEm","lastRunningMode","ledVer","manufacturer","model","outClusters","powerCluster","protocol","softwareBuild","tpLinkType","tuyaVersion","type","version"
"AirNow-Air Quality Tile","Tile - AirNow - Air Quality","217","","224e696f-d0f4-4d68-b5fa-4d73df7eebff","2026-07-22 17:07:03+0000","Virtual","Air Quality from AirNow Custom","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All  Fans Group","All  Fans Group","650","","Group_821","2026-07-22 15:46:27+0000","Virtual","Group Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Lights Except Porch Group","All Lights Except Porch Group","633","","Group_763","2026-07-22 17:00:09+0000","Virtual","Group Dimmer","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Lights Group","All Lights Group","53","","Group_52","2026-07-22 17:00:09+0000","Virtual","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Outlets Group","All Outlets Group","203","","Group_216","2026-07-22 17:00:09+0000","Virtual","Group Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astro-Meteor Seasons Tile","Astro-Meteor Seasons Tile","682","","48ed7823-a9eb-42ad-89ba-060dfb8e4fbd","2026-07-22 13:00:00+0000","Virtual","Astronomical & Meteorological Seasons","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual 1st Floor Temperature","AvgTHIE Virtual 1st Floor Temperature","586","","31329266-ace5-4a47-ad75-56a7f6435030","2026-07-22 17:43:28+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual 2nd Floor Temperature","AvgTHIE Virtual 2nd Floor Temperature","587","","42629b90-9665-4f27-9776-6a858cf3b7db","2026-07-22 17:42:49+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Energy (House) Device","AvgTHIE Virtual Energy (House) Device","527","","08125ff3-87a3-4bd0-8f66-96e1bec76f1c","2026-07-19 16:58:10+0000","Virtual","avgTHIE virtual energy device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Humidity (House) Device","AvgTHIE Virtual Humidity (House) Device","531","","2543b3a8-4c63-4b29-8911-1e8823d82ac6","2026-07-22 17:43:28+0000","Virtual","avgTHIE virtual humidity device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Humidity (Kitchen) Device","AvgTHIE Virtual Humidity (Kitchen) Device","528","","4f3dc711-18a9-4b1f-a158-5a1913ad0066","2026-07-22 17:37:44+0000","Virtual","avgTHIE virtual humidity device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Illuminance (House) Device","AvgTHIE Virtual Illuminance (House) Device","529","","2acf903d-2bb0-4175-8bc0-2d38895cb458","2026-07-22 17:44:11+0000","Virtual","avgTHIE virtual illuminance device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Illuminance (Outdoors) Device","AvgTHIE Virtual Illuminance (Outdoors) Device","585","","dd990083-f2fa-4957-836b-6f4f6a7ff784","2026-07-22 17:31:20+0000","Virtual","avgTHIE virtual illuminance device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (Bath) device","AvgTHIE Virtual Temp (Bath) device","532","","c51b6433-b1d5-4758-b110-aa6e42be0c75","2026-07-22 17:13:48+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (Bedroom) Device","AvgTHIE Virtual Temp (Bedroom) Device","534","","d94d5800-8546-4bf0-84eb-8c70260f30eb","2026-07-22 17:31:12+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (Hallway) Device","AvgTHIE Virtual Temp (Hallway) Device","535","","204d2e71-f839-4797-a1ba-9273ca8123c2","2026-07-22 17:09:55+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (House W/O Guest Rooms) Device","AvgTHIE Virtual Temp (House W/O Guest Rooms) Device","533","","3a3b764f-854a-4280-85ad-d0423adbacf2","2026-07-22 17:42:49+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (House) Device","AvgTHIE Virtual Temp (House) Device","537","","14531a86-eaf1-46fc-b417-b79c8bc61009","2026-07-22 17:37:01+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (Kitchen) Device","AvgTHIE Virtual Temp (Kitchen) Device","539","","0c830516-910d-45f1-ad6c-2cf383db8866","2026-07-22 17:24:28+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AvgTHIE Virtual Temp (Office) device","AvgTHIE Virtual Temp (Office) device","530","","247e5edb-0444-459e-8fd7-329c0c7fd0bc","2026-07-22 17:42:49+0000","Virtual","avgTHIE virtual temperature device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom Aqara Motion/Lux","Bathroom Aqara RTCGQ11M Motion/Lux Sensor","379","ZGB","F5B3","2026-07-22 17:14:53+0000","Bathroom","Aqara P1 Motion Sensor","","RTCGQ11LM","","","","","","","","","","","","","","","","lumi.sensor_motion.aq2","","","","","","","",""
"Bathroom Echo","Bathroom Echo Dot (Gen 5)","477","","22|echoSpeaks|G6G22H0844270ECD","2026-07-22 15:22:08+0000","Bathroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom Entry Motion","Bathroom eWeLink Entry Motion Sensor","106","ZGB","F148","2026-07-22 15:14:09+0000","Bathroom","Tuya Multi Sensor 4 In 1 (V3)","71","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Bathroom Fan","Bathroom Fan Switch","558","","242FD0B24068","2026-07-22 15:46:27+0000","Bathroom","Kasa Plug Switch","","","","8006F21AFD5952361C5D6991104785302270E8DF","192.168.1.43","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Bathroom Group","Bathroom Group","318","","Group_430","2026-07-22 15:46:28+0000","Bathroom","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom Omni Sensor","Virtual Bathroom Omni Sensor","289","","a980a598-9567-415b-bc8a-0b24fad9e94b","2026-07-22 17:13:49+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom Shower Motion","Bathroom eWeLink Shower Motion Sensor","622","ZGB","475C","2026-07-22 15:23:26+0000","Bathroom","Tuya Multi Sensor 4 In 1 (V3)","71","","","","","","","","","","","","0000,0003,0001,0500,0020","","","","eWeLink","MS01","0019","","","0122052017","","","",""
"Bathroom Temp-Humidity Sensor w/Display","Bathroom Third Reality Temp-Humidity Sensor w/Display","191","ZGB","4132","2026-07-22 17:13:48+0000","Bathroom","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Bathroom Vanity Light Dimming Switch","Bathroom Vanity Light Dimming Switch","111","ZGB","681A","2026-07-22 15:46:27+0000","Bathroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Battery Monitor 2.0 Tile","Tile - Battery Monitor 2.0","681","","51b5c85d-3c4e-4e65-ad8c-aea9f7ec8061","2026-07-21 20:00:00+0000","Virtual","Notification Tile (Custom)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedroom Bed Strip Light","Bedroom Bed Gledepto Strip Light","194","ZGB","1BD9","2026-07-22 15:22:35+0000","Bedroom","Advanced Zigbee RGBW Bulb","01","","","","","","","","","124F-1415-24013001","","","","","","","GLEDOPTO","GL-C-008P","","","","20451203","","","",""
"Bedroom Button","Bedroom Samsung Button","46","ZGB","6A16","2026-07-22 17:14:36+0000","Bedroom","Samsung Zigbee Button","11","","","","","","","","","1241-0040-00000011","","","","","","","Samjin","button","","","","00000011","","","",""
"Bedroom Closet Dimmer","Bedroom Closet Light Dimming Switch","393","ZGB","F09B","2026-07-22 15:22:35+0000","Bedroom Closet","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Bedroom Closet Motion","Bedroom Closet Third Reality Motion Sensor","648","ZGB","555F","2026-07-22 16:39:56+0000","Bedroom Closet","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Bedroom Echo w/Clock","Bedroom Echo Dot w/Clock (Gen 5)","356","","22|echoSpeaks|G6G22N063493008N","2026-07-22 15:22:08+0000","Bedroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
