"Device Name","Device Label","Device ID","controllerType","deviceNetworkId","lastActivityAt","roomName","typeName","application","aqaraModel","baseUrl","deviceId","deviceIP","devicePort","devIp","driverVersion","feature","firmwareMT","gradOnOff","hasLed","inClusters","isEm","lastRunningMode","ledVer","manufacturer","model","outClusters","powerCluster","protocol","softwareBuild","tpLinkType","tuyaVersion","type","version"
"Astro-Meteor Seasons Tile","Astro-Meteor Seasons Tile","682","","48ed7823-a9eb-42ad-89ba-060dfb8e4fbd","2026-07-18 13:00:00+0000","Virtual","Astronomical & Meteorological Seasons","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom Aqara RTCGQ11M Motion/Lux Sensor","Bathroom Aqara RTCGQ11M Motion/Lux Sensor","379","ZGB","F5B3","2026-07-18 23:04:29+0000","Bathroom","Aqara P1 Motion Sensor","","RTCGQ11LM","","","","","","","","","","","","","","","","lumi.sensor_motion.aq2","","","","","","","",""
"Bathroom Echo Dot (Gen 5)","Bathroom Echo Dot (Gen 5)","477","","22|echoSpeaks|G6G22H0844270ECD","2026-07-18 21:23:06+0000","Bathroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bathroom eWeLink Entry Motion Sensor","Bathroom eWeLink Entry Motion Sensor","106","ZGB","F148","2026-07-18 21:26:33+0000","Bathroom","Tuya Multi Sensor 4 In 1 (V3)","71","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Bathroom eWeLink Shower Motion Sensor","Bathroom eWeLink Shower Motion Sensor","622","ZGB","475C","2026-07-18 23:31:20+0000","Bathroom","Tuya Multi Sensor 4 In 1 (V3)","71","","","","","","","","","","","","0000,0003,0001,0500,0020","","","","eWeLink","MS01","0019","","","0122052017","","","",""
"Bathroom Fan Switch","Bathroom Fan Switch","558","","242FD0B24068","2026-07-18 23:30:22+0000","Bathroom","Kasa Plug Switch","","","","8006F21AFD5952361C5D6991104785302270E8DF","192.168.1.43","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Bathroom Third Reality Temp-Humidity Sensor w/Display","Bathroom Third Reality Temp-Humidity Sensor w/Display","191","ZGB","4132","2026-07-18 23:43:05+0000","Bathroom","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Bathroom Vanity Light Dimming Switch","Bathroom Vanity Light Dimming Switch","111","ZGB","681A","2026-07-18 23:30:21+0000","Bathroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Bedroom Bed Gledepto Strip Light","Bedroom Bed Gledepto Strip Light","194","ZGB","1BD9","2026-07-18 23:30:27+0000","Bedroom","Advanced Zigbee RGBW Bulb","01","","","","","","","","","124F-1415-24013001","","","","","","","GLEDOPTO","GL-C-008P","","","","20451203","","","",""
"Bedroom Closet Light Dimming Switch","Bedroom Closet Light Dimming Switch","393","ZGB","F09B","2026-07-18 23:30:27+0000","Bedroom Closet","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Bedroom Closet Third Reality Motion Sensor","Bedroom Closet Third Reality Motion Sensor","648","ZGB","555F","2026-07-18 17:28:31+0000","Bedroom Closet","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Bedroom Echo Dot w/Clock (Gen 5)","Bedroom Echo Dot w/Clock (Gen 5)","356","","22|echoSpeaks|G6G22N063493008N","2026-07-18 21:23:06+0000","Bedroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedroom Nightstand Lamp CT Bulb","Bedroom Nightstand Lamp CT Bulb","15","ZGB","E280","2026-07-18 23:30:27+0000","Bedroom","Advanced Zigbee CT Bulb","01","","","","","","","","","1168-0854-21026500","","","","","","","lk","ZBT-CCTLight-GLS0108","","","","2.2","","","",""
"Bedroom Overhead Light Dimming Switch","Bedroom Overhead Light Dimming Switch","107","ZGB","BD59","2026-07-18 18:51:23+0000","Bedroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0000-00000006","","","","","","","Jasco Products","45857","","0702","","00000006","","","",""
"Bedroom Samsung Button","Bedroom Samsung Button","46","ZGB","6A16","2026-07-18 23:25:46+0000","Bedroom","Samsung Zigbee Button","11","","","","","","","","","1241-0040-00000011","","","","","","","Samjin","button","","","","00000011","","","",""
"Bedroom Third Reality Heating Pad (Left) Outlet","Bedroom Third Reality Heating Pad (Left) Outlet","182","ZGB","0E3B","2026-07-18 11:05:03+0000","Bedroom","Third Reality Power Meter Plug Custom","5C","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006","","","","Third Reality, Inc","3RSP019BZ","0019","none","","1.01.01","","","",""
"Bedroom Third Reality Heating Pad (Right) Outlet","Bedroom Third Reality Heating Pad (Right) Outlet","185","ZGB","97B8","2026-07-18 11:05:03+0000","Bedroom","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
